﻿"party_number";"account_type_desc";"account_number";"account_businessno";"account_open_date";"account_close_date";"account_limit";"account_balance";"account_sum_cred_run_year";"account_sum_deb_run_year";"account_restriction";"account_currency_code";"account_iban";"account_registration_name";"loan_ref_iban";"loan_ref_bic";"loan_ref_name"
9299909295;"6";"34808";"02640519804";"2023-06-20";"2023-10-06";1;1;1;1;"Y";"GBP";"DE70823662240815338886";"test-name";"DE70823662240815338886";"SZUXDERPJO4";"test-ref-name"
9299909295;"6";"83490";"46814569507";"2013-10-12";"2024-06-12";1;1;1;1;"Y";"EUR";"DE22041351983270649506";"test-name";"DE22041351983270649506";"AVCTDEEWW91";"test-ref-name"
7378718045;"6";"18451";"52514404944";"2009-08-10";"2027-07-23";1;1;1;1;"Y";"EUR";"DE49760791661102889703";"test-name";"DE49760791661102889703";"UHDZDEXF";"test-ref-name"
1500459579;"G";"14628";"52330840087";"2020-05-05";"2029-10-23";1;1;1;1;"Y";"EUR";"DE70103719587441269542";"test-name";"DE70103719587441269542";"ALTCDE5SDNZ";"test-ref-name"
3024350357;"6";"15772";"08139279488";"2008-07-09";"2027-01-27";1;1;1;1;"Y";"EUR";"DE38977259754105072203";"test-name";"DE38977259754105072203";"LUFBDE77";"test-ref-name"
6666779488;"2";"98017";"78212910246";"2012-08-23";"2027-08-22";1;1;1;1;"Y";"GBP";"DE16761688102816541468";"test-name";"DE16761688102816541468";"ZYIXDEEEK0P";"test-ref-name"
6671236134;"0";"28238";"83250086801";"2022-04-04";"2031-11-03";1;1;1;1;"Y";"EUR";"DE67114463679772742808";"test-name";"DE67114463679772742808";"XQSQDE0P";"test-ref-name"
8555273106;"P";"30375";"57048689223";"2008-02-15";"2025-02-14";1;1;1;1;"Y";"EUR";"DE65606399606466110065";"test-name";"DE65606399606466110065";"BIHODE7T";"test-ref-name"
8555273106;"1";"42727";"14163444967";"2018-05-04";"2030-03-29";1;1;1;1;"Y";"EUR";"DE98994965064242188000";"test-name";"DE98994965064242188000";"JXRHDEEC";"test-ref-name"
878716970;"P";"68199";"05321771536";"2019-12-30";"2033-01-03";1;1;1;1;"Y";"EUR";"DE15882960874038126774";"test-name";"DE15882960874038126774";"YVHRDEX4KNB";"test-ref-name"
878716970;"1";"31642";"59474546445";"2003-08-18";"2026-06-17";1;1;1;1;"Y";"EUR";"DE94970003830029433560";"test-name";"DE94970003830029433560";"VUGIDE4U";"test-ref-name"
3408946363;"3";"70737";"48016569244";"2009-05-13";"2032-07-06";1;1;1;1;"Y";"USD";"DE82531864302227827480";"test-name";"DE82531864302227827480";"AKXRDEULA3W";"test-ref-name"
5573696046;"3";"20806";"63648469457";"2020-03-28";"2030-09-12";1;1;1;1;"Y";"EUR";"DE75961059416654767529";"test-name";"DE75961059416654767529";"GOKYDEJ6EOT";"test-ref-name"
5573696046;"4";"82673";"24331180375";"2017-04-23";"2032-10-08";1;1;1;1;"Y";"EUR";"DE96311372654494154433";"test-name";"DE96311372654494154433";"ELIXDE4P";"test-ref-name"
5573696046;"0";"42780";"21188573546";"2007-06-05";"2026-12-28";1;1;1;1;"Y";"USD";"DE98341082614333691040";"test-name";"DE98341082614333691040";"QLREDEVPQXK";"test-ref-name"
5573696046;"2";"63012";"80386709839";"2006-01-24";"2029-07-29";1;1;1;1;"Y";"EUR";"DE54439519203796493318";"test-name";"DE54439519203796493318";"HTCUDEHZBWK";"test-ref-name"
5573696046;"3";"91797";"51910120785";"2012-11-02";"2032-04-28";1;1;1;1;"Y";"EUR";"DE72889797070262655197";"test-name";"DE72889797070262655197";"VPCBDE9G";"test-ref-name"
5573696046;"0";"16316";"53306190949";"2008-06-09";"2025-10-01";1;1;1;1;"Y";"EUR";"DE06032307898178149299";"test-name";"DE06032307898178149299";"FWVLDEI6";"test-ref-name"
