﻿"account_number";"account_businessno";"booking_date";"num_transaction_type";"prn";"currency_amount";"contra_accountno";"contra_bankcode";"contra_iban";"contra_bic";"contra_name";"contra_txtschl";"contra_txtschl_erg";"value_date";"transaction_description1";"datatextschl_erg";"transaction_currency_code";"currency_amount_in_txn_ccy";"account_currency_code";"country_code";"transaction_description2";"transaction_description3";"transaction_description4";"transaction_description5";"transaction_description6";"transaction_description7";"datatextschl";"leistungsart";"datenherkunft";"account_type_desc";"party_number";"ultimate_creditor";"ultimate_debitor";"transaction_reference_number";"empfaengername";"account_registration_name";"purpose_code_cat";"purpose_code"
"34808";"02640519804";"2021-01-18";"4";12345678;-12735.33;"9555310057";"10050000";"DE89100500009555310057";"RQSMDEJE";"Univ.Prof. Jens-Peter Gorlitz";" ";" ";"2021-01-18";"Reici";692;"EUR";-12735.33;"EUR";"US";"ciend";"s lab";"rum b";"andit";"is do";"ores ";"47";15387571318;"KA";"G";9299909295;"Univ.Prof. Jens-Peter Gorlitz";"Univ.Prof. Jens-Peter Gorlitz";" ";"Univ.Prof. Jens-Peter Gorlitz";" ";" ";" "
"34808";"02640519804";"2021-01-18";"5";12345678;-1953.58;"9555310057";"10050000";"DE89100500009555310057";"QBMVDEGQ";"Heidelinde Rose MBA.";" ";" ";"2021-01-18";"Quibu";542;"EUR";-1953.58;"EUR";"US";"busda";" quia";"eius ";"olest";"ae an";"mi ut";"32";81342317240;"US";"1";9299909295;"Heidelinde Rose MBA.";"Heidelinde Rose MBA.";" ";"Heidelinde Rose MBA.";" ";" ";" "
"34808";"02640519804";"2021-01-19";"2";12345678;624920.0;"5728212839";"40270200";"DE47402702005728212839";"QFPODE2W";"Dipl.-Ing. Elise Mende B.A.";" ";" ";"2021-01-19";"HIGH ";715;"EUR";624920.0;"EUR";"US";"H VOL";"ME";"";"";"";"";"65";66691858269;"OS";"0";9299909295;"Dipl.-Ing. Elise Mende B.A.";"Dipl.-Ing. Elise Mende B.A.";" ";"Dipl.-Ing. Elise Mende B.A.";" ";" ";" "
"34808";"02640519804";"2021-01-19";"52";12345678;4862.21;"9734725205";"06708259";"DE47067082599734725205";"GDLRDEDO";"Herr Lukas Heser B.A.";" ";" ";"2021-01-19";"Iure ";67;"EUR";4862.21;"EUR";"US";"e sol";"ta al";"as er";"or qu";" nemo";" Odio";"18";43642597706;"OS";"2";9299909295;"Herr Lukas Heser B.A.";"Herr Lukas Heser B.A.";" ";"Herr Lukas Heser B.A.";" ";" ";" "
"34808";"02640519804";"2021-01-20";"4";12345678;10031.55;"4823344851";"58502950";"DE67585029504823344851";"XUFDDE0D08Z";"Carina Schönland";" ";" ";"2021-01-20";"Beata";249;"EUR";10031.55;"EUR";"US";"tae t";"mpori";"us ab";"numqu";"m sun";".";"41";51151705928;"OS";"9";9299909295;"Carina Schönland";"Carina Schönland";" ";"Carina Schönland";" ";" ";" "
"34808";"02640519804";"2021-01-20";"52";12345678;-5481.26;"5056451831";"84326569";"DE31843265695056451831";"KZYFDE2B";"Karl-Peter Trub";" ";" ";"2021-01-20";"Qui r";404;"EUR";-5481.26;"EUR";"US";" repr";"hende";"it ne";"ue. S";"nt re";"usand";"68";90496777935;"US";"6";9299909295;"Karl-Peter Trub";"Karl-Peter Trub";" ";"Karl-Peter Trub";" ";" ";" "
"34808";"02640519804";"2021-01-21";"3";12345678;3801.61;"7470425069";"21798920";"DE36217989207470425069";"BNQKDEIZ";"Cordula Schönland";" ";" ";"2021-01-21";"Eius ";731;"EUR";3801.61;"EUR";"US";"s vel";"occae";"ati l";"bore ";"ecess";"tatib";"6";18401715984;"OS";"0";9299909295;"Cordula Schönland";"Cordula Schönland";" ";"Cordula Schönland";" ";" ";" "
"34808";"02640519804";"2021-01-21";"61";12345678;-6488.74;"9555310057";"10050000";"DE89100500009555310057";"EOSMDE6UOQL";"Alan Fiebig-Hahn";" ";" ";"2021-01-21";"Vitae";265;"EUR";-6488.74;"EUR";"US";"ae en";"m quo";" sint";"autem";"tempo";"e. Ad";"11";76886773358;"US";"4";9299909295;"Alan Fiebig-Hahn";"Alan Fiebig-Hahn";" ";"Alan Fiebig-Hahn";" ";" ";" "
"34808";"02640519804";"2021-01-22";"6";12345678;-8633.25;"1907612006";"70265590";"DE58702655901907612006";"ZCIYDEPVPAM";"Ludwina Bender-Bohnbach";" ";" ";"2021-01-22";"Saepe";814;"EUR";-8633.25;"EUR";"US";"pe ra";"ione ";"x del";"ctus ";"isi. ";"enetu";"44";60582590465;"OS";"4";9299909295;"Ludwina Bender-Bohnbach";"Ludwina Bender-Bohnbach";" ";"Ludwina Bender-Bohnbach";" ";" ";" "
"34808";"02640519804";"2021-01-22";"62";12345678;5574.68;"8759753720";"17646846";"DE71176468468759753720";"SHOZDER9";"Edeltraut Stadelmann";" ";" ";"2021-01-22";"Volup";575;"USD";5574.68;"USD";"SO";"uptat";"s qua";" in i";"te mi";"ima. ";"llo o";"42";81449419376;"OS";"3";9299909295;"Edeltraut Stadelmann";"Edeltraut Stadelmann";" ";"Edeltraut Stadelmann";" ";" ";" "
